model,cv_score,best_params,f1_macro,accuracy,precision,recall,test_f1_macro,test_accuracy,test_precision,test_recall
rfc_smote,0.6877760355795213,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.6877760355795213,0.8008777377551443,0.666456434405484,0.761105751279735,0.5273139845362126,0.840284917021589,0.5359480986344499,0.7546447602718593
rfc_adasyn,0.6753837779754159,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.6753837779754159,0.7916076677845402,0.655657553613876,0.748508943089431,0.5055410788519412,0.7947569393449846,0.5316189740277912,0.7728345571706878
rfc_borderline_smote,0.6852405054496111,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.6852405054496111,0.8552282768777614,0.6961521301316698,0.6767932550436616,0.5983602237438771,0.9324423557056837,0.5698144747222618,0.7260302161476009
rfc_svm_smote,0.6895509878980599,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.6895509878980599,0.8572919069503346,0.7005356807496403,0.6810517916290274,0.6019361112454045,0.9346453223674548,0.5723397987457048,0.7271541484119498
rfc_random_oversample,0.6705512603543646,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.6705512603543646,0.7905761484819986,0.651468646149818,0.739602288467329,0.5295396786759439,0.840138052577471,0.5375053118371804,0.7671752276513782
rfc_smote_enn,0.5967366744790507,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.5967366744790507,0.853852523496046,0.6689177678800318,0.5796773261065944,0.592327455183913,0.9642385078572477,0.5835382057992514,0.6035929469944729
rfc_smote_tomek,0.682971350233281,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.682971350233281,0.7967552093499182,0.6620412366428489,0.7576862390846131,0.5277486383435356,0.8404317814657072,0.5362128904089106,0.7565204599747886
xgb_smote,0.6855172759833552,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200, 'scale_pos_weight': 1, 'subsample': 0.8}",0.6855172759833552,0.7974442689757557,0.6643510068417472,0.7632440228846733,0.5305098195252179,0.8424878836833603,0.5376445052038813,0.7647725469627383
xgb_adasyn,0.6757552515166882,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200, 'scale_pos_weight': 1, 'subsample': 0.8}",0.6757552515166882,0.7898841315187111,0.656549183695542,0.7527269497139415,0.4970457419667587,0.7786018504919959,0.5296775113271227,0.7699946998880476
xgb_borderline_smote,0.6968151381486652,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 200, 'scale_pos_weight': 1, 'subsample': 0.8}",0.6968151381486652,0.8507597399908914,0.6945069130367215,0.7008511291779586,0.5898316315773622,0.9192979879571156,0.56419081925818,0.7517379629058276
xgb_svm_smote,0.691770333372393,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 1, 'subsample': 0.8}",0.691770333372393,0.8483530587741244,0.6889572877672084,0.6954031918096959,0.5788252471526647,0.9084300190923777,0.5578910100940604,0.7551970848282368
xgb_random_oversample,0.677154642665694,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 200, 'scale_pos_weight': 1, 'subsample': 0.8}",0.677154642665694,0.7950446853688687,0.6569637809328774,0.7473450165612767,0.5292040286657052,0.838228814803936,0.5377058844563151,0.7716034656781939
xgb_smote_enn,0.5969771132531576,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200, 'scale_pos_weight': 3, 'subsample': 0.8}",0.5969771132531576,0.8541943917052599,0.6704205170085675,0.5798622704004817,0.5853213792514503,0.9601997356440006,0.5725351416690106,0.6051339462804454
xgb_smote_tomek,0.6872566991351341,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200, 'scale_pos_weight': 1, 'subsample': 0.8}",0.6872566991351341,0.8005358695459304,0.6662507108329896,0.7609509183980729,0.5289552526786303,0.8388162725804083,0.5374020508196931,0.7683016391780749
mlpc_smote,0.6714654548938265,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 64, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001}",0.6714654548938265,0.7758072052569631,0.6559847440491832,0.7670164408310749,0.5214807367534527,0.819723894845058,0.5366979744751602,0.7891739979372537
mlpc_adasyn,0.6558431381966383,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 64, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001}",0.6558431381966383,0.7575704881381194,0.6460310616026523,0.7605095453176755,0.4905870931208371,0.7604640916434131,0.529868989509736,0.7877525541911654
mlpc_borderline_smote,0.6925503800641553,"{'activation': 'relu', 'alpha': 0.001, 'batch_size': 64, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001}",0.6925503800641553,0.8476634076807967,0.6884531511276902,0.6981068955133996,0.5798062984465638,0.9101189601997356,0.55835719969394,0.7524572244602921
mlpc_svm_smote,0.6935444682130982,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 64, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001}",0.6935444682130982,0.8500718633000336,0.691543827838947,0.6964031918096959,0.5790683118441708,0.912542223527684,0.5576478821981468,0.7410881537539338
mlpc_random_oversample,0.6709429599685627,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 64, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001}",0.6709429599685627,0.7751045418788556,0.6550374862468614,0.7676510087323095,0.482440423392166,0.7409311205757086,0.5293298830133224,0.7975955011856384
mlpc_smote_enn,0.6077315923084441,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 64, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001}",0.6077315923084441,0.8528174553885645,0.6681745630636929,0.5892724480578139,0.576333459185985,0.9546188867675136,0.5611989963253791,0.6058881929813735
mlpc_smote_tomek,0.6657024909032699,"{'activation': 'relu', 'alpha': 0.001, 'batch_size': 64, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001}",0.6657024909032699,0.7706336391220255,0.6507917313548797,0.7619623607347185,0.5301098410618849,0.8385959759142312,0.5382450341766658,0.7753923294928642
