model,cv_score,best_params,f1_macro,accuracy,precision,recall,test_f1_macro,test_accuracy,test_precision,test_recall,minority_recall,minority_precision,minority_f1,majority_recall,majority_precision,majority_f1,roc_auc_score,true_positives,true_negatives,false_positives,false_negatives
rfc_smote,0.7977741539148788,"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.7977741539148788,0.9123042981942497,0.8404893810774631,0.7684818428184282,0.7083674737932896,0.9654134234101924,0.6578343522443825,0.8184841128868752,0.6654411764705882,0.3226381461675579,0.4345738295318127,0.971527049303162,0.993030558321207,0.9821611180547665,0.9578588759795841,181,12966,380,91
rfc_adasyn,0.7979070086805347,"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.7979070086805347,0.9123031152592699,0.8387844092449415,0.769426076482987,0.6972222817089567,0.9640916434131297,0.6494683191496711,0.8016028155605116,0.6323529411764706,0.3065953654188948,0.4129651860744298,0.9708526899445526,0.9923412728804473,0.9814793773434837,0.9568969221886267,172,12957,389,100
rfc_borderline_smote,0.7674029487489433,"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.7674029487489433,0.9068006931998983,0.8443311683020374,0.7282331225534477,0.6907152389246355,0.9659274489646057,0.6495023631651167,0.770125549845294,0.5661764705882353,0.308,0.39896373056994816,0.9740746291023528,0.9910047263302333,0.9824667472793228,0.9531711418270291,154,13000,346,118
rfc_svm_smote,0.8020980303314843,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.8020980303314843,0.9112680471517883,0.8263466340347339,0.7830841915085818,0.6841874819691414,0.9577764723160522,0.6337103221583075,0.8199901270263839,0.6764705882352942,0.27421758569299554,0.3902439024390244,0.9635096658174734,0.9932030586236194,0.9781310614992583,0.952697878192188,184,12859,487,88
rfc_random_oversample,0.6678945543447287,"{'max_depth': 30, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.6678945543447287,0.8913350012716551,0.8955520711709914,0.6250465522433003,0.6813898740847142,0.981421647819063,0.7789562128529763,0.6357696401653723,0.2757352941176471,0.5725190839694656,0.37220843672456577,0.9958039862130975,0.985393341736487,0.9905713114448627,0.9420860843962939,75,13290,56,197
rfc_smote_enn,0.78126502150712,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.78126502150712,0.8710405687551385,0.7471010200712329,0.850048660042156,0.5890242051748995,0.8869143780290791,0.5677998109790684,0.8882816838709109,0.8897058823529411,0.13812785388127855,0.2391304347826087,0.8868574853888805,0.9974717680768582,0.9389179755671903,0.9495618867957794,242,11836,1510,30
rfc_smote_tomek,0.7977741539148788,"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.7977741539148788,0.9123042981942497,0.8404893810774631,0.7684818428184282,0.70098378607675,0.9654868556322515,0.6540934824869548,0.7987130975573206,0.625,0.3159851301115242,0.41975308641975306,0.9724261951146411,0.9922018348623853,0.982214485733747,0.9559059059334809,170,12978,368,102
xgb_smote,0.8264049113201569,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200, 'scale_pos_weight': 1, 'subsample': 0.8}",0.8264049113201569,0.9178114519935411,0.832991180885795,0.8208442637759712,0.6898169363585749,0.9530033778822147,0.6331410277365264,0.8769803796687266,0.7977941176470589,0.27057356608478805,0.40409683426443205,0.9561666416903941,0.9957084893882646,0.9755370384527177,0.9633898348039951,217,12761,585,55
xgb_adasyn,0.8221017307545775,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 200, 'scale_pos_weight': 1, 'subsample': 0.8}",0.8221017307545775,0.9150623111000705,0.8260977821325148,0.8192292080698584,0.6849792185628071,0.9514613012189749,0.629358881216165,0.8743928561983763,0.7941176470588235,0.2630937880633374,0.39524245196706315,0.9546680653379289,0.9956239743689927,0.9747159851585511,0.9637330749023723,216,12741,605,56
xgb_borderline_smote,0.8218700640219684,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200, 'scale_pos_weight': 1, 'subsample': 0.8}",0.8218700640219684,0.9154053622442643,0.8270778113127015,0.8174052393857272,0.6893024544942163,0.9543985901013364,0.6337939397062937,0.8632860363536994,0.7683823529411765,0.27249022164276404,0.40230991337824834,0.9581897197662221,0.9950976577698234,0.9762949956101844,0.9626777355629799,209,12788,558,63
