word,mean_importance,frequency,total_importance,std_importance
an,0.18134420388781378,34,6.165702932185669,0.2112666671710191
militants,0.09086829872435546,58,5.270361326012617,0.09627477833511452
of,0.04480879362712539,55,2.4644836494918967,0.03555148940894805
claimed,0.206894841792758,10,2.06894841792758,0.196376324037577
the,0.03836228868330195,49,1.8797521454817956,0.02905500190434525
suicide,0.188908307687994,7,1.322358153815958,0.09628780122360259
in,0.03272112761186852,37,1.210681721639135,0.0320449006162745
bomber,0.18719351700082135,6,1.1231611020049281,0.08420790641898043
killed,0.026580500157906417,35,0.9303175055267247,0.03257560326423057
was,0.03705636426302387,23,0.8522963780495489,0.03245662666273542
pylon,0.32594352456608844,2,0.6518870491321769,0.08563892120258063
city,0.04049142260409332,16,0.6478627616654932,0.021185711137547292
planted,0.03560419287155493,17,0.6052712788164338,0.02594594628550511
reported,0.046131108475561455,13,0.5997044101822989,0.042591690924750084
and,0.021244824076870672,28,0.5948550741523788,0.015096973381965658
militant,0.10854663253611987,5,0.5427331626805993,0.05788492038137482
bomb,0.04431438848782763,12,0.5317726618539316,0.025397774036579952
by,0.017374700981176203,29,0.5038663284541098,0.014402527243551313
beheaded,0.47515337703101157,1,0.47515337703101157,0.0
Shiite,0.14977182931592528,3,0.44931548794777587,0.09268556244138924
as,0.0229921914092726,19,0.4368516367761794,0.022563796923559084
Province,0.0681206324671767,6,0.4087237948030602,0.05950174232474145
attacked,0.05005056113645946,8,0.4004044890916757,0.08103009248981895
area,0.030774281683952978,13,0.4000656618913887,0.030410378455949155
have,0.04745717789041453,8,0.37965742312331624,0.03012243446886628
On,0.01415491372989409,25,0.35387284324735224,0.011946711335061696
on,0.026421206292269867,13,0.34347568179950827,0.02667335763225063
province,0.027649619856898344,12,0.33179543828278013,0.024166625676192603
fighters,0.1060327566806516,3,0.3180982700419548,0.08609787378081415
Unknown,0.09547231623392559,3,0.28641694870177675,0.0596001412585593
Bala,0.09133012346533999,3,0.27399037039602,0.026468033642105527
