feature,mean_importance,frequency,total_importance,std_importance
sub_event_type_Suicide bomb,0.06264391945645446,94,5.888528428906719,0.0008598041386885237
sub_event_type_Grenade,0.05823118373915685,100,5.823118373915685,0.005180011296943083
sub_event_type_Government regains territory,0.032144629107176734,100,3.2144629107176734,0.044726634837297476
sub_event_type_Air/drone strike,0.020588842181651926,100,2.0588842181651925,0.02723205006109459
sub_event_type_Attack,0.02101480413083988,94,1.9753915882989486,0.0006872040850756073
sub_event_type_Sexual violence,0.012027454786549102,100,1.20274547865491,0.013893812333806042
civilian_targeting,0.012336253842069772,84,1.0362453227338608,0.00015813485427231745
sub_event_type_Abduction/forced disappearance,0.007523587116284895,98,0.7373115373959197,0.0008693085680782322
sub_event_type_Non-state actor overtakes territory,0.007470183921735638,95,0.7096674725648856,0.00022975004769500024
sub_event_type_Shelling/artillery/missile attack,0.0029437163415963314,98,0.2884842014764405,0.00029158877735532623
sub_event_type_Remote explosive/landmine/IED,0.0030934830296616735,74,0.22891774419496383,9.783330413349557e-05
fatalities,0.004306958328654228,53,0.22826879141867407,0.00013622682194886824
violence_against_women,0.0079127638069864,8,0.0633021104558912,0.02093520521647871
