word,mean_importance,frequency,total_importance
militants,0.12450499022677151,62,7.719309394059834
an,0.20868577326177704,36,7.512687837423973
of,0.05889140622429591,53,3.121244529887683
claimed,0.18114754785689163,10,1.8114754785689162
in,0.03541994006758049,46,1.6293172431087024
killed,0.04596040898892025,24,1.103049815734086
and,0.023263261303032915,44,1.0235834973334483
On,0.020309943718192926,47,0.9545673547550675
Dih,0.2382075715255327,4,0.9528302861021308
by,0.03218862493975845,28,0.9012814983132366
the,0.029942476864901913,29,0.8683318290821554
suicide,0.1114891925465858,7,0.7804243478261006
bomber,0.1189845605129169,6,0.7139073630775015
pylon,0.33995926668602056,2,0.6799185333720411
as,0.022239264979958966,28,0.6226994194388511
on,0.0408738864774827,15,0.6131082971622405
militant,0.09513168647719354,6,0.5707901188631612
reported,0.031768181868834906,17,0.5400590917701934
Shiite,0.178130669111622,3,0.534392007334866
was,0.025314623941391185,21,0.5316071027692149
coded,0.025203598133032357,20,0.5040719626606471
executed,0.4783755016997001,1,0.4783755016997001
Afghan,0.030817482971764322,15,0.4622622445764648
PD3,0.14688492134879708,3,0.44065476404639126
bomb,0.03450104405823771,12,0.4140125286988525
killing,0.04282777649029427,9,0.38544998841264844
Unknown,0.0938885808430921,4,0.3755543233723684
targeted,0.06066315026280752,6,0.3639789015768451
area,0.031237381276837874,11,0.3436111940452166
Around,0.03768255222950902,9,0.33914297006558114
fighters,0.08372607305469851,4,0.33490429221879403
that,0.047506075736140636,7,0.33254253015298446
beheaded,0.3236902696372463,1,0.3236902696372463
loyalists,0.3050371290199399,1,0.3050371290199399
Dara,0.15177841912026266,2,0.3035568382405253
have,0.04223380169479581,7,0.2956366118635707
city,0.02559153942447245,11,0.28150693366919693
shot,0.04647325543280464,6,0.2788395325968278
GP2,0.09209344491725331,3,0.27628033475175995
from,0.06519935319257028,4,0.2607974127702811
with,0.03700182474594713,7,0.2590127732216299
planted,0.017758023942574606,14,0.2486123351960445
PD4,0.24777337934051574,1,0.24777337934051574
across,0.0793705182650819,3,0.2381115547952457
10,0.029761129580258238,8,0.2380890366420659
during,0.07832279905122787,3,0.23496839715368362
a,0.03542354162463645,6,0.21254124974781868
4,0.04224136519468388,5,0.21120682597341942
blown,0.1053704728898977,2,0.2107409457797954
PD6,0.1015110228181314,2,0.2030220456362628
PD2,0.20118192145179356,1,0.20118192145179356
between,0.04991293845635095,4,0.1996517538254038
11,0.06640373554826005,3,0.19921120664478015
IED,0.03289653062753308,6,0.19737918376519847
Muslim,0.19673870642420482,1,0.19673870642420482
including,0.031718665650440236,6,0.19031199390264142
their,0.046846397692601044,4,0.18738559077040418
As,0.061864769365237576,3,0.18559430809571273
were,0.014175180943605582,13,0.18427735226687256
9,0.03526624283793262,5,0.1763312141896631
2021,0.01468876548154685,12,0.1762651857785622
at,0.021319942302356277,8,0.17055953841885022
Pech,0.1619400397987547,1,0.1619400397987547
claim,0.07991703285973743,2,0.15983406571947487
PD8,0.07974923206079115,2,0.1594984641215823
Reported,0.07956769520364264,2,0.15913539040728528
Total,0.046475672160701746,3,0.13942701648210523
up,0.06911088227484392,2,0.13822176454968785
province,0.033202411593868844,4,0.13280964637547538
kidnapped,0.13137553526050785,1,0.13137553526050785
to,0.021884901045023886,6,0.13130940627014331
Kaga,0.06402733878979883,2,0.12805467757959765
Pakistani,0.12468123124149427,1,0.12468123124149427
PD1,0.12453208440402855,1,0.12453208440402855
3,0.02065009535250374,6,0.12390057211502245
Reports,0.061209069948388345,2,0.12241813989677669
personnel,0.12000322402179478,1,0.12000322402179478
2,0.023353146257917075,5,0.11676573128958537
attacked,0.019241572191814594,6,0.11544943315088757
Shah,0.05769812352613994,2,0.11539624705227988
police,0.03827498210072099,3,0.11482494630216299
12,0.028447932591881532,4,0.11379173036752613
GP3,0.03759546185767788,3,0.11278638557303364
Province,0.027219562670783834,4,0.10887825068313534
bombers,0.10425738019693921,1,0.10425738019693921
clashes,0.10236604213916295,1,0.10236604213916295
Sultanpur,0.10181865507716222,1,0.10181865507716222
six,0.09997034288755537,1,0.09997034288755537
Safid,0.09930839405686183,1,0.09930839405686183
PD7,0.09837375925924877,1,0.09837375925924877
No,0.015736195713990975,6,0.09441717428394585
8,0.046141679539683844,2,0.09228335907936769
remote,0.090301537197205,1,0.090301537197205
scholars,0.08864338884362807,1,0.08864338884362807
Mullah,0.08688594891347522,1,0.08688594891347522
some,0.0850044932264827,1,0.0850044932264827
detonated,0.04190159790107956,2,0.08380319580215911
Manogai,0.08338613000340211,1,0.08338613000340211
The,0.02774050426576466,3,0.08322151279729398
civilians,0.04032684646368629,2,0.08065369292737258
power,0.040186490675589485,2,0.08037298135117897
gunmen,0.08035624697802465,1,0.08035624697802465
ministry,0.07819518074834877,1,0.07819518074834877
chiefs,0.07815804937894154,1,0.07815804937894154
Haska,0.07674192060572509,1,0.07674192060572509
