feature,mean_importance,std_importance,min_importance,max_importance,model_count
fatalities,0.4317,0.234,0.1633,0.6685,14
sub_event_type_Armed clash,0.239,0.1319,0.1053,0.4434,14
civilian_targeting,0.1207,0.0207,0.0855,0.1564,14
sub_event_type_Suicide bomb,0.0472,0.0386,0.0088,0.1597,14
sub_event_type_Remote explosive/landmine/IED,0.0427,0.0132,0.0123,0.0709,14
sub_event_type_Shelling/artillery/missile attack,0.0326,0.0263,0.0052,0.0737,14
sub_event_type_Attack,0.0282,0.0167,0.0047,0.0551,14
sub_event_type_Abduction/forced disappearance,0.0243,0.0391,0.0011,0.153,14
sub_event_type_Non-state actor overtakes territory,0.0194,0.016,0.0049,0.047,14
sub_event_type_Grenade,0.0137,0.0208,0.0,0.0787,14
violence_against_women,0.0005,0.0006,0.0,0.0013,14
sub_event_type_Air/drone strike,0.0001,0.0001,0.0,0.0003,14
sub_event_type_Government regains territory,0.0,0.0,0.0,0.0,14
sub_event_type_Sexual violence,0.0,0.0,0.0,0.0,14
