feature,appearances,percentage
fatalities,14,100.0
civilian_targeting,14,100.0
sub_event_type_Armed clash,14,100.0
sub_event_type_Remote explosive/landmine/IED,14,100.0
sub_event_type_Attack,14,100.0
sub_event_type_Shelling/artillery/missile attack,14,100.0
sub_event_type_Suicide bomb,14,100.0
sub_event_type_Non-state actor overtakes territory,14,100.0
sub_event_type_Abduction/forced disappearance,14,100.0
sub_event_type_Grenade,14,100.0
violence_against_women,14,100.0
sub_event_type_Air/drone strike,14,100.0
sub_event_type_Government regains territory,14,100.0
sub_event_type_Sexual violence,14,100.0
