feature,mean_abs_shap
fatalities,2.397958
notes_emb_253,0.36508116
notes_emb_255,0.19860853
sub_event_type_Armed clash,0.19460729
notes_emb_345,0.19104312
notes_emb_101,0.1752247
notes_emb_82,0.16504952
notes_emb_8,0.15584631
notes_emb_167,0.14938755
notes_emb_256,0.14916444
notes_emb_267,0.14810756
notes_emb_88,0.14693944
notes_emb_114,0.14455469
civilian_targeting,0.13579796
notes_emb_72,0.1340637
notes_emb_279,0.13161956
notes_emb_269,0.124305926
notes_emb_119,0.1231977
notes_emb_212,0.1156988
notes_emb_211,0.11402415
notes_emb_273,0.113649786
notes_emb_198,0.11346129
notes_emb_112,0.10880755
notes_emb_91,0.10822586
notes_emb_127,0.107444696
notes_emb_247,0.10629431
notes_emb_308,0.10246308
notes_emb_343,0.098275974
notes_emb_132,0.097286224
notes_emb_365,0.096778795
notes_emb_78,0.09541845
notes_emb_67,0.09162953
notes_emb_350,0.08890104
notes_emb_225,0.08682387
notes_emb_325,0.08607083
notes_emb_294,0.085564986
notes_emb_123,0.08234252
notes_emb_328,0.08186715
notes_emb_329,0.07893498
notes_emb_52,0.07772309
notes_emb_3,0.07653834
notes_emb_65,0.075491704
notes_emb_226,0.07501589
notes_emb_238,0.07072918
notes_emb_182,0.06959455
notes_emb_169,0.06889466
notes_emb_363,0.06884448
notes_emb_64,0.06568176
notes_emb_244,0.06568086
notes_emb_144,0.063724265
notes_emb_23,0.062779605
notes_emb_187,0.062220335
notes_emb_202,0.060752247
notes_emb_69,0.060453065
notes_emb_288,0.059275962
notes_emb_339,0.05865171
notes_emb_196,0.057928916
notes_emb_326,0.057705052
notes_emb_330,0.055988126
notes_emb_41,0.054761704
notes_emb_66,0.054291714
notes_emb_378,0.053328343
notes_emb_272,0.052903246
notes_emb_89,0.05188156
notes_emb_116,0.051001914
notes_emb_50,0.049640346
notes_emb_79,0.049620204
notes_emb_352,0.048665952
notes_emb_53,0.048325986
notes_emb_183,0.04824966
notes_emb_153,0.048214428
notes_emb_74,0.04751163
notes_emb_331,0.047348756
notes_emb_107,0.047283392
notes_emb_303,0.046273675
